AT1G06580.1	Q9SHK2
AT1G12300.1	Q0WKV3
AT1G12620.1	Q9ASZ8
AT1G12700.1	P0C7Q7
AT1G12775.1	Q9LPX2
AT1G62590.1	Q9SXD8
AT1G62670.1	Q9SXD1
AT1G62680.1	Q3ECK2
AT1G62720.1	Q9SI78,A0A178WIB7
AT1G62910.1	Q9LQ16
AT1G62914.1	Q9LQ15
AT1G62930.1	Q9LQ14
AT1G63070.1	Q9CAN6-1
AT1G63080.1	Q9CAN5
AT1G63130.1	Q9CAN0
AT1G63330.1	Q9C8T7
AT1G63400.1	A0A178WJU7,Q9SH26
AT1G64580.1	Q0WKZ3
AT1G64583.1	P0C7R3
AT1G56510.1	Q9C7X0
AT1G56520.2	F4I552
AT1G56540.1	Q9FXA6
AT1G63730.1	Q9CAD8
AT1G63740.1	F4I3Q6
AT1G63750.3	Q9CAE0
AT1G63860.1	F4I3S8
AT1G63870.1	Q9CAK0
AT1G63880.1	Q9CAK1
AT1G64070.1	F4I594
AT1G66090.1	Q9C515
AT2G16870.1	Q9ZVX6
AT4G14370.1	F4JVE9
AT5G38850.1	A0A654G6E2,Q9FMB7
AT5G40910.1	Q9FKR7
AT5G41540.1	Q9FFS6
AT5G41550.1	Q9FFS5
AT5G41740.2	F4JYI4
AT5G41750.1	Q9LSX5
AT1G31540.2	F4I9F1
AT4G08450.1	Q9SW60
AT4G16860.1	F4JNA9
AT4G16890.1	O23530-2
AT4G16900.1	F4JNB2
AT4G16920.1	Q9SUK4
AT4G16940.1	F4JNB6
AT4G16950.1	F4JNB7-1
AT4G16960.1	F4JNB9
AT5G22690.1	Q9FNJ2
AT5G40060.1	F4KFY1
AT5G46260.1	Q9FL35
AT5G46270.1	F4KG41
AT5G46450.1	Q9FHG0
AT5G46470.1	F4KHH8-1
AT5G46490.2	Q9FHF6
AT5G46500.1	Q9FHF5
AT5G46510.1	Q9FHF4
AT5G46520.1	F4KHI3,A0A1Y1BZS1
AT1G19930.1	Q3ED92
AT1G48190.1	F4HWT7
AT1G60570.1	O22698
AT1G61540.1	Q9SY96
AT1G77880.1	A0A178WI27,Q9SH13-1
AT2G03460.1	Q6RF47
AT3G06570.1	A0A178V8P5,Q94K34
AT3G08810.1	A0A178VNR3,Q9C9X9
AT3G09750.1	F4J1B0
AT4G05620.1	A0A654FM23,Q9M0U2
AT4G25710.1	Q9SZZ9-1
AT4G39550.1	Q9SVA3
AT4G39560.1	A0A178V3F4,Q67XN8
AT4G39570.1	A0A178UX04,Q9SVA1
AT4G39580.1	A0A5S9Y2A9,Q9SVA0
AT4G39590.1	Q1PE10,A0A654FXI3
AT5G38670.1	Q9FFV5-1,A0A178UKQ4
AT5G38680.1	A0A654G632,Q9FFV4
AT5G49000.2	Q9FI70-1
AT2G21200.1	A0A178W0A2,Q9SKP3
AT3G03820.1	Q9SRV9,A0A384KDF9
AT3G03830.1	Q9SRW0,A0A654FED0
AT3G03840.1	Q9SRW1
AT3G03847.1	A0A654F3V9,Q3EBC5
AT3G03850.1	Q6NMM4,A0A654F3W3
AT4G38825.1	A0A178UUI1,B3H4F0
AT5G18010.1	Q9FJG1
AT5G18020.1	Q9FJG0,A0A178UJW5
AT5G18030.1	Q9FJF9,A0A178UFM7
AT5G18050.1	Q9FJF7,A0A178UAM2
AT5G18060.1	Q9FJF6,A0A178UM65
AT5G18080.1	Q9FK62,A0A178UNU5
AT2G19630.1	A0A654EUB2,Q9ZUN0-1
AT2G31470.1	Q5BPS3-1,A0A178VP37
AT3G10990.1	Q9SRL0
AT3G23960.1	Q9LIR1
AT3G49440.1	Q9S7F8
AT3G61340.1	A0A5S9XMR4,Q9M2D0
AT5G44345.1	F4K8V7
AT5G65850.1	Q9FHP3
AT5G40595.1	F4KIP1
AT1G37020.1	F4I3A8
AT2G10260.1	F4IPG3
AT3G31910.1	F4J924
AT4G08430.1	Q9SW62
AT5G28810.1	F4KA15
AT5G45570.1	Q9FH44
AT1G55030.1	A0A178WG50,Q9C7M1
AT2G04230.1	Q6NKX3
AT3G26920.1	A0A1I9LRV1
AT3G26922.1	Q9LJF8
AT3G26930.1	Q9LJF7
AT3G49020.1	Q9SMT9
AT3G49030.1	Q9SMU0-1
AT3G49040.1	A0A2H1ZEK7
AT3G51530.1	Q501E9
AT3G52680.1	Q9LXJ6
AT3G52690.1	A0A654FG48,F4J826
AT3G55670.1	Q9M055
AT4G00160.1	A0A654FKI4,Q8LF09
AT2G42460.1	A0A654F180,F4IN32
AT2G42470.1	A0A654F2K9,P0DKG5
AT2G42480.1	A0A654F188,P0DKG7
AT1G52650.1	Q9SSR7
AT3G03030.1	A0A178VEC7,Q9M8U4
AT3G03040.1	A0A654F3M0,Q9LDJ9
AT3G58820.1	A0A5S9XM98,Q9LXS0
AT3G58880.1	Q9LXR4
AT3G58900.4	F4J721
AT3G58910.1	Q9LXR1
AT3G58930.1	Q8GXW6
AT3G58940.1	A0A654FJ32,Q9LXQ8
AT3G58950.1	Q9LXQ7
AT3G59000.1	Q2V3N5-1,A0A654FJ36
AT4G13960.1	A0A1P8B401,A0A654FP64
AT5G38386.1	Q3E8L5
AT5G38390.1	Q9FF23
AT5G38396.1	Q3E8L4
AT1G32375.1	Q9LQM1
AT5G50270.1	Q9FGR8
AT5G56325.1	Q1PDI7
AT5G56370.1	A0A654GBQ1,Q9FM94
AT5G56390.1	Q9FM92
AT5G56420.1	Q9FM89
AT1G74170.1	F4HTV3
AT1G74180.1	F4HTV4
AT1G74190.1	Q9C6A8,A0A654ENU9
AT2G25470.1	F4IRP9
AT1G58310.1	A0A5S9WQK1,Q9LQC1
AT3G49150.1	A0A2H1ZEK2
AT3G59160.1	Q9LX55
AT3G59170.1	A0A654FJ59,Q9LX54
AT3G59180.1	Q9LX53
AT3G59190.1	Q1PED9
AT3G59200.1	A0A654FJ56,Q9LX51
AT3G59210.1	A0A5S9XM85,Q8GW80
AT3G59230.1	Q9LX48
AT3G59240.1	A0A654FJ55,Q9LX47
AT3G59250.1	Q9LX46
AT3G59270.1	Q9LX44
AT4G00320.1	P0C2G6
AT4G14096.1	Q94B46
AT4G14103.2	F4JUK8
AT5G35926.1	F4K1G1
AT5G41630.1	Q9FFR7
AT5G41830.1	Q9FJ31
AT5G41840.1	Q9FJ30
AT1G64840.1	Q9XIR1
AT2G24250.1	A0A654EWT7,Q9ZUH0
AT2G24255.1	Q8S8L1
AT1G11280.1	Q9SXB3-2
AT1G61360.1	O64784-1,A0A178W9H1
AT1G61370.1	O64783
AT1G61380.1	O64782,A0A178WKT1
AT1G61390.1	O64781-1
AT1G61400.1	O64780
AT1G61420.1	O64778
AT1G61430.1	O64777
AT1G61440.1	O64776
AT1G61460.1	O64774
AT1G61480.1	O64771
AT1G61490.1	O64770
AT1G61500.1	Q9SYA0
AT1G61550.1	Q9SY95
AT1G69090.1	Q9LQB0
AT4G14165.1	F4JUM4
AT4G22060.1	O65454
AT4G22165.1	A0A7G2EZD8,P0CG94
AT4G22170.1	Q9SUG4
AT4G22180.1	A0A5S9XV39,O49624
AT4G22660.1	A0A7G2F6N1,O49647
AT5G25300.1	Q3E960
AT5G66830.1	A0A5S9YHN3,Q9FKZ7
AT1G52430.1	Q9SSP7
AT1G52450.1	Q9SSP9
AT1G65110.1	F4I9U5
AT1G65120.2	F4I9U7
AT1G65130.1	F4I9U9
AT1G65200.1	F4I9V7
AT2G27630.1	F4IGQ2
AT2G27650.1	F4IGQ3
AT5G02660.1	Q9LZ36
AT5G51530.1	Q9FHN1
AT5G61940.1	F4K528
AT5G61950.1	A0A654GD83,F4K529
AT1G07747.1	A8MRP3
AT1G43665.1	Q3ECX8
AT1G43666.1	A0A5S9WJL7,Q56Y90
AT1G43667.1	Q8GX11
AT1G48750.1	A0A178WPD2,Q94AQ3
AT1G66850.1	A0A178W531,Q9C9N7
AT2G14846.1	Q3EC04
AT3G18280.1	A0A384KWR9,Q9LJQ3
AT3G57310.1	A0A384L8G4,Q9M2L6
AT4G12825.1	A0A654FNN2,A8MRI8
AT5G38160.1	A0A178UDK4,Q9FF40
AT5G38170.1	A0A654G6X4,Q9FF39
AT5G38180.1	Q6NM41
AT5G38195.1	A0A5S9Y964,Q29QA1
AT5G38197.1	A8MRC2
AT1G66540.1	A0A654ELJ6,A2RVN3
AT2G23190.1	O22188
AT2G23220.1	O22185
AT3G28740.1	Q9LHA1
AT4G37320.1	O23156,A0A654FWD0
AT4G37330.1	O23155,A0A654FWD7
AT4G37340.1	O23154
AT4G37360.1	Q9SZT6
AT4G37370.1	Q9SZT7
AT1G76320.1	Q6NQJ7-1,A0A178WNR6
AT2G27110.1	Q9ZVC9-1,A0A654EY46
AT2G32250.1	Q3EBQ3-1
AT3G06250.1	Q9M8J3,A0A178VME0
AT3G22170.1	Q9LIE5,A0A178VJL5
AT4G15090.1	Q9SWG3
AT4G19990.2	F4JU19
AT4G38170.1	Q9SZL7
AT4G38180.1	Q9SZL8,A0A654FWK2
AT5G18960.1	Q3E7I5,A0A178UJZ0
AT1G15210.1	Q7PC86,A0A178WAD4
AT1G15520.1	Q9M9E1,A0A654EFA3
AT1G59870.1	Q9XIE2
AT1G66950.1	Q7PC84
AT2G26910.1	O81016,A0A178VNA5
AT2G29940.1	Q7PC88
AT2G36380.1	Q7PC87,A0A178VWW9
AT3G16340.1	Q94A18-1
AT4G04490.1	Q9XEC6
AT4G04500.1	Q9XEC7
AT4G04510.1	Q9XEC8
AT4G04540.1	Q9SYS7
AT4G04570.1	Q9SYS3-1
AT1G70830.1	Q9SSK9-1
AT1G70840.1	Q941R6
AT1G70850.1	A0A384KEJ8,Q0WLG8,Q9SSK7-1
AT1G70880.1	Q941R7
AT1G70890.1	Q9SSK5
AT5G28000.1	A0A5S9Y8X9,Q941R5
AT5G28010.1	F4K5S5
AT1G77650.1	Q9CAP3
AT3G08750.1	Q9C9Y4
AT3G10430.1	A0A178V5Y1,Q9CAE7
AT3G21410.1	Q4PSN6
AT4G04690.1	Q9S9V1
AT1G03400.1	Q94A78,A0A178W144
AT1G03410.1	Q43383
AT1G06620.1	Q84MB3,A0A178WLF9
AT1G06640.1	Q9C5K7-1,A0A654E9C6
AT1G06645.1	F4IDQ2
AT1G06650.2	Q8H1S4-1,A0A178W9Q8
AT2G25450.1	Q9SKK4,A0A654EX74
AT2G30830.1	A0A178VXY7,O80850
AT2G30840.1	A0A178VQR0,O80851
AT3G61400.1	Q9M2C4
AT1G13780.1	A0A178W7A6,Q56XS8
AT2G26030.1	Q8H1M0-1
AT3G19085.1	F4JA00
AT5G27750.1	Q0V7P8
AT5G44940.1	Q9FLA3
AT5G44950.1	Q9FLA2
AT5G44970.1	Q9FLA0
AT5G44980.1	Q9FL99
AT1G66410.2	F4IEU4
AT2G27030.3	F4IVN6,A0A654EWJ3
AT2G41090.1	P30187,A0A178VWR2
AT2G41100.1	P25071-1,A0A654F633
AT2G41110.2	F4IJ46
AT3G22930.1	Q9LIK5
AT3G43810.1	P59220,A0A384LJK0,Q1H5F3
AT3G56800.1	P0DH97,P0DH98,Q682T9-1,A0A178VP83
AT5G21274.1	Q03509,A0A178UHI2
AT5G37780.3	F4K8M2
AT3G46650.1	A0A654FEQ7,F4J962
AT3G46680.1	Q9SNB0,W8PVB4
AT3G46690.1	Q9STE3,W8Q337
AT3G46700.1	Q494Q1,W8Q6Q0
AT3G46720.1	Q9STE6
AT5G59580.1	Q9LTH3,W8QN43
AT5G59590.1	Q9LTH2,A0A384KI83,W8PUA4
AT1G21620.1	A0A5S9VES5
AT5G59280.1	Q9FIE9,A0A654GCF8
AT5G60110.1	Q9LVG3,A0A654GD97
AT5G60180.1	Q9LSS8,A0A5S9YFX4
AT5G05030.1	A0A654FYH6,Q9FF71
AT5G11660.1	Q9LYG4
AT5G25410.1	Q941C9
AT5G25415.1	F4JWS2
AT5G36680.1	A0A178URE8,F4K4G7
AT5G36770.1	A0A178URE8,F4K4G7
AT5G60380.1	A0A654GDD4,F4JYY1
AT1G48145.1	F4HWT1
AT1G50750.1	F4I6L3
AT1G50770.1	A0A5S9WNS1,Q9C6K1
AT1G50790.1	Q9C6J9
AT1G50820.1	Q9C6J7
AT1G50830.1	A0A178WHR2,Q9C6J6
AT1G51538.1	F4I9K2
AT4G16050.1	Q8RXC3
AT5G18510.1	Q3E9E9
AT1G11610.2	F4I8Y7
AT2G30750.1	O49340,A0A5S9X2U8
AT2G30770.1	O49342
AT4G13290.1	A0A654FNT0,Q9T0K0
AT4G13310.1	Q9T0K2-1
AT5G24950.1	P58046
AT5G24960.1	P58045
AT5G42590.1	Q9FH66
AT1G05920.1	Q5RM09
